title,year,href,citations
Does size really matter? Organizational size and innovations in nonprofit organizations,2013,https://onlinelibrary.wiley.com/doi/abs/10.1002/nml.21087,53
Does size really matter? Species–area relationships in human settlements,2011,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1472-4642.2010.00714.x,53
Does size matter? Assessment and fighting in small and large size‐matched pairs of adult male convict cichlids,2004,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0022-1112.2004.00399.x,52
Surgical treatment for large hepatocellular carcinoma: does size matter?,2012,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1445-2197.2012.06079.x,50
Does size really matter?: A reexamination of sheldon's somatotypes and criminal behavior,2008,https://www.sciencedirect.com/science/article/pii/S036233190800030X,50
Does size matter?,2002,https://rupress.org/jcb/article/158/7/1156/32985,49
Information technology workforce skills: Does size matter?,2007,https://www.tandfonline.com/doi/abs/10.1080/10580530701586102,49
"Relationship of size at return with environmental variation, hatchery production, and productivity of wild pink salmon in Prince William Sound, Alaska: does size matter …",2004,https://link.springer.com/content/pdf/10.1007/s11160-004-2942-4.pdf,49
Scale-up of the electrokinetic fence technology for the removal of pesticides. Part II: Does size matter for removal of herbicides?,2017,https://www.sciencedirect.com/science/article/pii/S0045653516313157,48
Superparamagnetic iron oxide nanodiscs for hyperthermia therapy: Does size matter?,2017,https://www.sciencedirect.com/science/article/pii/S0925838817314068,48
Does size matter? An investigation of collaborative information technology adoption by US firms,2003,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1159&context=jitta,48
Biogeography of mosses and allies: does size matter,2011,https://books.google.com/books?hl=en&lr=&id=QdcLHCPgG-wC&oi=fnd&pg=PA209&dq=+%22does+size+matter%22&ots=Qo1LvJyCQ2&sig=FBjpOXaxHEBd7DIjn35pEW-p-ms,47
Vestibular function and quality of life in vestibular schwannoma: does size matter?,2011,https://www.frontiersin.org/articles/10.3389/fneur.2011.00055/full,46
Lipoprotein particle subclass profiles among metabolically healthy and unhealthy obese and non-obese adults: does size matter?,2015,https://www.sciencedirect.com/science/article/pii/S0021915015300605,46
Generalization in decision trees and DNF: Does size matter?,1998,https://books.google.com/books?hl=en&lr=&id=M55BL-GvQ8IC&oi=fnd&pg=PA259&dq=+%22does+size+matter%22&ots=FuBvZuAInV&sig=BBdTo_m-Uo_VtH1iBp9gD0ORL9I,45
Does size matter? Comparison of body temperature and activity of free-living Arabian oryx (Oryx leucoryx) and the smaller Arabian sand gazelle (Gazella subgutturosa …,2012,https://link.springer.com/content/pdf/10.1007/s00360-011-0620-0.pdf,45
Hubble space telescope nicmos observations of the host galaxies of powerful radio sources: Does size matter?,2000,https://iopscience.iop.org/article/10.1086/316825/meta,45
Does size really matter in Japan?,1998,https://www.tandfonline.com/doi/abs/10.2469/faj.v54.n6.2222,45
Does Size Really Matter?——A perspective of conservatism test,2007,https://en.cnki.com.cn/Article_en/CJFDTotal-KJYJ200703012.htm,45
Does size matter? Knowledge-based development of second-order city-regions in Finland,2015,https://www.tandfonline.com/doi/abs/10.1080/02513625.2015.1093352,43
Does size matter? Gender‐based equal opportunity in UK small and medium enterprises,2006,https://www.emerald.com/insight/content/doi/10.1108/09649420610650710/full/html,43
"Does size matter? The influence of firm size on working conditions, job satisfaction and quit intentions",2011,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9485.2011.00544.x,43
Does size matter?,2014,https://aip.scitation.org/doi/abs/10.1063/1.4868393,42
Does size matter? CFSP committees after enlargement,2008,https://www.tandfonline.com/doi/abs/10.1080/07036330802294771,42
Dearomatization and C− H Deprotonation with Heavier Group 2 Alkyls: Does Size Matter?,2010,https://pubs.acs.org/doi/abs/10.1021/om100649z,41
Resources and business failure in SMEs: Does size matter?,2014,http://jbm.johogo.com/pdf/volume/2002/JBM-2002-05-full.pdf,40
Does size matter? Subsegmental cues to vowel mispronunciation detection,2011,https://www.cambridge.org/core/journals/journal-of-child-language/article/does-size-matter-subsegmental-cues-to-vowel-mispronunciation-detection/0DBC4FB65C3757F2AC4A03FFCD122A34,40
Does size matter? Association between number of patients treated and patient outcome in metastatic testicular cancer,1999,https://academic.oup.com/jnci/article-abstract/91/10/816/2905670,40
"Does size matter? An investigation of habitat use across a carnivore assemblage in the Serengeti, Tanzania",2010,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2656.2010.01717.x,40
Postoperative lumbar epidural hematoma: does size really matter?,2008,https://journals.lww.com/spinejournal/fulltext/2008/01010/postoperative_lumbar_epidural_hematoma__does_size.19.aspx,40
Arterial occlusions: does size matter?,2007,https://jnnp.bmj.com/content/78/9/916.extract,39
Species selectivity in different sized topless trawl designs: does size matter?,2015,https://www.sciencedirect.com/science/article/pii/S0165783615300199,39
Schemata as building blocks: does size matter,1999,https://books.google.com/books?hl=en&lr=&id=lz7zqHVCDpcC&oi=fnd&pg=PA117&dq=+%22does+size+matter%22&ots=1Iz4abbW8j&sig=eCzGcN1bTGTWhVKQVb0HDbKj_No,39
Does size matter? Study of performance of pseudo-ELISAs based on molecularly imprinted polymer nanoparticles prepared for analytes of different sizes,2016,https://pubs.rsc.org/en/content/articlehtml/2016/an/c5an02018b,39
Sex allocation and nestling survival in a dimorphic raptor: does size matter?,2005,https://academic.oup.com/beheco/article-abstract/16/5/922/247066,39
Intermediate C9orf72 alleles in neurological disorders: does size really matter?,2017,https://jmg.bmj.com/content/54/9/591.abstract,39
Does size matter?,2016,https://books.google.com/books?hl=en&lr=&id=Si8lDwAAQBAJ&oi=fnd&pg=PA232&dq=+%22does+size+matter%22&ots=wJ2XPDIbG2&sig=CC6MWbH72o_Xs-7GyRRM5f1G7oo,38
The impact of Lean bundles on hospital performance: does size matter?,2016,https://www.emerald.com/insight/content/doi/10.1108/IJHCQA-07-2015-0083/full/html,38
Does size matter? Simulating electricity market coupling between Colombia and Ecuador,2015,https://www.sciencedirect.com/science/article/pii/S1364032115005225,38
Does size matter? An empirical investigation into the competitive strategies of the small firm,2001,http://161.45.205.92/index.php/jsbs/article/view/475,38
Controlling cell division in yeast and animals: does size matter?,2003,https://link.springer.com/article/10.1186/1475-4924-2-5,38
Extrancranial occlusive vascular disease: does size matter?,1980,https://www.ahajournals.org/doi/abs/10.1161/01.STR.11.1.63,37
The trophic state 'chain of relationships' in ponds: does size matter?,2005,https://link.springer.com/article/10.1007/s10750-004-3083-4,37
Prophylactic pancreatic stents: does size matter? A comparison of 4-Fr and 5-Fr stents in reference to post-ERCP pancreatitis and migration rate,2011,https://link.springer.com/content/pdf/10.1007/s10620-011-1695-x.pdf,37
Management of non-parasitic splenic cysts: does size really matter?,2014,https://link.springer.com/article/10.1007/s11605-014-2545-x,37
"Does size matter for port coopetition strategy? Concept, motivation and implication",2015,https://www.tandfonline.com/doi/abs/10.1080/13675567.2015.1032229,36
The frontal cortex: does size matter?,2002,https://www.nature.com/articles/nn0302-190,36
Does size really matter? Analysis of the effect of large fibroids and uterine volumes on complication rates of uterine artery embolisation,2010,https://link.springer.com/content/pdf/10.1007/s00270-010-9842-x.pdf,36
Does size matter? A test of size‐specific mortality in Atlantic salmon Salmo salar smolts tagged with acoustic transmitters,2016,https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.13066,35
Does size really matter?: relationship of particle size to lung deposition and exhaled fraction,2017,https://www.jacionline.org/article/S0091-6749(17)30005-2/abstract,35
A potential pitfall in studies of biological shape: does size matter?,2017,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2656.12732,34
The effects of superior semicircular canal dehiscence on the labyrinth: does size matter?,2008,https://journals.lww.com/otology-neurotology/fulltext/2008/10000/The_Effects_of_Superior_Semicircular_Canal.17.aspx,33
The normal appendix on CT: does size matter?,2014,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0096476,32
Does size matter? Operating cost coverage for water utilities,2013,https://link.springer.com/article/10.1007/s11269-012-0256-1,32
Prostate-specific membrane antigen targeted gold nanoparticles for prostate cancer radiotherapy: does size matter for targeted particles?,2019,https://pubs.rsc.org/en/content/articlehtml/2019/sc/c9sc02290b,32
Capital structure of SMEs: to what extent does size matter?,1683,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1683161,32
Professional service firms are relationship marketers: but does size matter?,2008,https://www.sciencedirect.com/science/article/pii/S144135820870003X,32
School district consolidation and student outcomes: Does size matter,2005,https://books.google.com/books?hl=en&lr=&id=m7X3B--Q1goC&oi=fnd&pg=PA56&dq=+%22does+size+matter%22&ots=-srcnLUZ2q&sig=kTAuDmMQTqY8Kl5465fZYx8Uu8E,32
Bladder neck stenosis after transurethral resection of prostate: does size matter?,2004,https://www.karger.com/Article/Abstract/80839,32
How much does size really matter? Exploring the limits of graphene as Li ion battery anode material,2017,https://www.sciencedirect.com/science/article/pii/S0038109816303556,32
Does size matter? Economies of scale in the banking industry,2011,https://clutejournals.com/index.php/JBER/article/view/4129,31
Does size matter? Experiences and perspectives of BIM implementation from large and SME construction contractors,2012,http://nrl.northumbria.ac.uk/10069/1/BIM_Gledson_Henry_Bleanch.pdf,31
Does size matter? Conservation implications of differing woody population sizes with equivalent occurrence and diversity of species for threatened savanna habitats,2014,https://link.springer.com/article/10.1007/s10531-014-0651-4,31
Effect of pancreatic duct stent diameter on hospitalization in chronic pancreatitis: does size matter?,2009,https://journals.lww.com/pancreasjournal/fulltext/2009/10000/effect_of_pancreatic_duct_stent_diameter_on.3.aspx,31
Internet auction sellers: does size really matter?,2003,https://www.emerald.com/insight/content/doi/10.1108/10662240310478204/full/html,31
Does size really matter? The impact of prostate volume on the efficacy and safety of GreenLight HPS™ laser photoselective vaporization of the prostate,2012,https://www.liebertpub.com/doi/abs/10.1089/end.2011.0457,31
Does size matter in predicting SMEs failure?,2018,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijfe.1638,30
Metastatic lymph nodes in hilar cholangiocarcinoma: does size matter?,2011,https://www.sciencedirect.com/science/article/pii/S1365182X15303956,30
An analysis of the virtual classroom: Does size matter? Do residencies make a difference? Should you hire that instructional designer?,2006,https://www.jstor.org/stable/40324327,30
Invasion success: does size really matter?,2002,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1461-0248.2002.00306.x,30
Does size really matter? A multisite study assessing the latent structure of the proposed ICD-11 and DSM-5 diagnostic criteria for PTSD,2017,https://www.tandfonline.com/doi/abs/10.1080/20008198.2017.1398002,30
… practices and challenges in industrial control organizations regarding information security incident management–Does size matter? Information security incident …,2016,https://www.sciencedirect.com/science/article/pii/S1874548215000815,29
Endoscopic fenestration of middle cranial fossa arachnoid cysts: does size matter?,2011,https://www.sciencedirect.com/science/article/pii/S0967586810007940,29
EVA: does size matter?,2009,https://www.worldscientific.com/doi/abs/10.1142/S0219091509001629,28
Does size matter? Examining the drivers of mammalian vocalizations,2017,https://onlinelibrary.wiley.com/doi/abs/10.1111/evo.13128,28
Does size matter?-objectives and measures at UK trade exhibitions,1997,https://www.tandfonline.com/doi/abs/10.1080/135272697346041,28
Does size matter? Comparison of extraction yields for different-sized DNA fragments by seven different routine and four new circulating cell-free extraction methods,2018,https://journals.asm.org/doi/abs/10.1128/jcm.01061-18,28
Does size matter? The relationship between volume and outcome in the care of major trauma,2006,https://journals.sagepub.com/doi/abs/10.1258/135581906776318857,28
"Evaluating brand extensions, fit perceptions and post-extension brand image: does size matter?",2014,https://www.tandfonline.com/doi/abs/10.1080/0267257X.2014.926962,28
Public-sector research in small countries: does size matter?,2000,https://academic.oup.com/spp/article-abstract/27/6/433/1626218,28
Does size matter? A genetic programming approach to technical trading,2010,https://www.tandfonline.com/doi/full/10.1080/14697680902773629,28
Reforming the business tax system: Does size matter? Fundamental issues in small business taxation,2009,https://ifs.org.uk/conferences/freedman_australia.pdf,28
Mandatory sustainability reporting in Germany: does size matter?,2018,https://www.mdpi.com/357300,27
Turf transplants for restoration of alpine vegetation: does size matter?,2012,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2664.2012.02123.x,27
Male organ and economic growth: does size matter?,2011,https://mpra.ub.uni-muenchen.de/id/eprint/32302,26
Undergraduate research methods: Does size matter? A look at the attitudes and outcomes of students in a hybrid class format versus a traditional class format,2009,https://www.tandfonline.com/doi/abs/10.1080/10511250903200493,26
Lending relationships and loan contract terms: Does size matter,2006,https://www.researchgate.net/profile/Anthony-Saunders/publication/5042652_Lending_relationships_and_loan_contract_terms_does_size_matter/links/5582c6ce08ae6cf036c2e2b3/Lending-relationships-and-loan-contract-terms-does-size-matter.pdf,26
Does size matter,2002,https://uh.edu/tech/cisre/resources/ia-resources/_files/7033/Week1/2002survey.pdf,25
"Does size matter? Foreign aid in Taiwan's diplomatic strategy, 2000–8",2011,https://www.tandfonline.com/doi/abs/10.1080/10357718.2011.563777,25
Does size matter? Statistical limits of paleomagnetic field reconstruction from small rock specimens,2016,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2015JB012441,25
Defining criteria for selective operative management of pancreatic cystic lesions: does size really matter?,2010,https://link.springer.com/article/10.1007/s11605-009-1078-1,25
Post-mastectomy radiation in large node-negative breast tumors: Does size really matter?,2009,https://www.sciencedirect.com/science/article/pii/S0167814008005173,25
Big Data: Does Size Matter?,2016,https://books.google.com/books?hl=en&lr=&id=XbNnCwAAQBAJ&oi=fnd&pg=PT6&dq=+%22does+size+matter%22&ots=84xWJXCc8u&sig=reQ3odF58h1kXakOTWZrFqX3pWY,24
Seller strategies on eBay: Does size matter?,2007,https://www.inderscienceonline.com/doi/abs/10.1504/IJEB.2007.016476,24
Does size matter: the role and significance of cereal grains in the Indus civilization,2010,https://link.springer.com/article/10.1007/s12520-010-0025-0,24
