title,year,href,details,blurb,citations
Does size matter? Critical mass and New Zealand's Women MP,2002,https://openresearch-repository.anu.edu.au/handle/1885/92276,S Grey - 2002 - openresearch-repository.anu.edu.au,"It is often claimed that women will only influence upon political decisions once they achieve a critical mass within legislative bodies. Assertions about critical mass are made by academics and politicians alike, even though the concept is under-developed and relatively …",247
"Does size matter in females? An overview of the impact of the high variation in the ovarian reserve on ovarian function and fertility, utility of anti-Müllerian hormone as …",2010,https://www.publish.csiro.au/RD/RD10226,"JJ Ireland, GW Smith, D Scheetz… - Reproduction …, 2010 - CSIRO Publishing","The mechanism whereby the inherently high variation in ovary size and the total number of high-quality oocytes in ovaries (ovarian reserve) impact on ovarian function and fertility, diagnostics to measure the size of the ovarian reserve and the factors that cause variation in …",235
Does size matter for hypoxia tolerance in fish?,2008,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-185X.2008.00038.x,"GE Nilsson, S Östlund‐Nilsson - Biological Reviews, 2008 - Wiley Online Library","Fish cover a large size range, from milligrams to tonnes, and many of them are regularly exposed to large variations in ambient oxygen levels. For more than half a century, there have been various, often divergent, claims regarding the effect of body size on hypoxia …",233
Does Size Matter? Scaling of CO2 Emissions and US Urban Areas,2013,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0064727,"M Fragkias, J Lobo, D Strumsky, KC Seto - PloS one, 2013 - journals.plos.org","Urban areas consume more than 66% of the world's energy and generate more than 70% of global greenhouse gas emissions. With the world's population expected to reach 10 billion by 2100, nearly 90% of whom will live in urban areas, a critical question for planetary …",224
Does size matter? Positive predictive value of MRI-detected breast lesions as a function of lesion size,2006,https://www.ajronline.org/doi/abs/10.2214/AJR.04.1707,"L Liberman, G Mason, EA Morris… - American Journal of …, 2006 - Am Roentgen Ray Soc",OBJECTIVE. The purpose of this study was to determine the impact of lesion size on the positive predictive value (PPV) of biopsy in MRI-detected breast lesions. MATERIALS AND METHODS. A retrospective review was performed of 666 consecutive nonpalpable …,204
Using aggregate geographic data to proxy individual socioeconomic status: does size matter?,2001,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1446644/,"M Soobader, FB LeClere, W Hadden… - American Journal of …, 2001 - ncbi.nlm.nih.gov",OBJECTIVES: This study assessed whether aggregate-level measures of socioeconomic status (SES) are less biased as proxies for individual-level measures if the unit of geographic aggregation is small in size and population. METHODS: National Health …,194
Does size matter? Organizational slack and visibility as alternative explanations for environmental responsiveness,2002,https://journals.sagepub.com/doi/pdf/10.1177/0007650302041001007,"FE Bowen - Business & Society, 2002 - journals.sagepub.com",Does size matter in explaining firms' environmental responsiveness? Are large corporations more likely to engage with green issues for fear of losing stakeholder support? Are bigger companies greener because they have more resources to devote to environmental …,187
Does size matter? A study of firm behavior and outcomes in strategic SME networks,2005,https://www.emerald.com/insight/content/doi/10.1108/14626000510612330/full/html?fullSc=1,"J Wincent - Journal of Small Business and Enterprise Development, 2005 - emerald.com","Does size matter? A study of firm behavior and outcomes in strategic SME networks | 
Emerald Insight … Does size matter? A study of firm behavior and outcomes in strategic 
SME networks … (2005), ""Does size matter? A study of firm behavior and outcomes in …",184
Does size matter for Six Sigma implementation? Findings from the survey in UK SMEs,2009,https://www.emerald.com/insight/content/doi/10.1108/17542730910995882/full/html,"M Kumar, J Antony, A Douglas - The TQM journal, 2009 - emerald.com",Purpose–The purpose of this paper is to identify the quality initiatives implemented in UK manufacturing small and medium‐sized enterprises (SMEs) and to perform a comparative analysis of quality management practices within Six Sigma firms against the non‐Six Sigma …,180
Does size really matter?,1997,https://www.tandfonline.com/doi/abs/10.2469/faj.v53.n5.2112,"JB Berk - Financial Analysts Journal, 1997 - Taylor & Francis","If the size of firms is measured correctly, small firms do not necessarily earn higher returns than larger firms. Yet, this finding is not inconsistent with the empirical fact that firms with small market values earn higher returns. Modern financial theory predicts that when firm size …",180
"Does size matter? Authorship attribution, small samples, big problem",2015,https://academic.oup.com/dsh/article-abstract/30/2/167/390738,"M Eder - Digital Scholarship in the Humanities, 2015 - academic.oup.com","The aim of this study is to find such a minimal size of text samples for authorship attribution that would provide stable results independent of random noise. A few controlled tests for different sample lengths, languages, and genres are discussed and compared. Depending …",179
Archaeological Soybean (Glycine max) in East Asia: Does Size Matter?,2011,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0026720,"GA Lee, GW Crawford, L Liu, Y Sasaki, X Chen - PloS one, 2011 - journals.plos.org","The recently acquired archaeological record for soybean from Japan, China and Korea is shedding light on the context in which this important economic plant became associated with people and was domesticated. This paper examines archaeological (charred) soybean seed …",173
Salience of loss of control for pediatric binge episodes: does size really matter?,2010,https://onlinelibrary.wiley.com/doi/abs/10.1002/eat.20767,"LB Shomaker, M Tanofsky‐Kraff, C Elliott… - … Journal of Eating …, 2010 - Wiley Online Library","Objective The subjective experience of loss of control (LOC) during eating, independent of overeating, may be a salient marker of disordered eating and risk for overweight in youth. However, few studies have directly tested this notion in an adequately powered sample …",173
Does size matter? The impact of changes in household structure on income distribution in Germany,2012,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-4991.2011.00448.x,"A Peichl, N Pestel, H Schneider - Review of Income and Wealth, 2012 - Wiley Online Library","Income inequality in Germany has been continually increasing during the past 20 years. One cause of this development, among others, could be structural shifts in household formation due to long‐term societal trends. These affect per capita incomes, which has …",165
Does size matter? An examination of small and large web-based brand communities,2010,https://www.sciencedirect.com/science/article/pii/S1094996809000899,"D Scarpi - Journal of Interactive Marketing, 2010 - Elsevier","We investigate the causal relationship between brand community identification, brand affect, community loyalty, brand loyalty, brand evangelism, and community evangelism, developing a structural equation model set within the context of online brand communities for newly …",165
"Does size matter? Body size, mass collecting, and their implications for understanding prehistoric foraging behavior",2005,https://www.cambridge.org/core/journals/american-antiquity/article/does-size-matter-body-size-mass-collecting-and-their-implications-for-understanding-prehistoric-foraging-behavior/F02FB75239497BFD2E252298F30C7B08,"A Ugan - American Antiquity, 2005 - cambridge.org","Zooarchaeologists regularly assume a positive relationship between body size and energetic return rates among animal taxa. Some researchers question the validity of this assumption, suggesting that small animals collected in mass can provide high returns and …",157
Measuring diversity of endophytic fungi in leaf fragments: does size matter?,2003,https://link.springer.com/article/10.1023/A:1021362217723,"MA Gamboa, S Laureano, P Bayman - Mycopathologia, 2003 - Springer","Endophytic fungi inhabit living plant tissues without causing disease symptoms. Although abundant, the extent of their contribution to fungal biodiversity remains unclear. Since endophytic fungi are poorly known, especially in the tropics, current estimates of fungal …",148
Alloy formation of supported gold nanoparticles at their transition from clusters to solids: Does size matter?,2005,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.94.016804,"HG Boyen, A Ethirajan, G Kästle, F Weigl, P Ziemann… - Physical review …, 2005 - APS","Gold nanoclusters of a size approaching the molecular limit (< 3 nm) were prepared on Si substrates in order to study alloy formation on the nanometer scale. For this purpose, indium atoms are deposited on top of the gold particles at room temperature and the formation of A …",148
Sex‐specific foraging behaviour in tropical boobies: does size matter?,2005,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1474-919x.2005.00428.x,"SUE Lewis, EA Schreiber, F Daunt, GA Schenk, K Orr… - Ibis, 2005 - Wiley Online Library","Sex differences in the foraging behaviour of adults have been observed in a number of sexually size‐dimorphic birds, and the usual inference has been that these sex‐specific differences are driven primarily by differences in body size. An alternative explanation is that …",143
"Does size matter? investigating the impact of mobile phone screen size on users' perceived usability, effectiveness and efficiency.",2013,https://dl.acm.org/doi/abs/10.1145/2493190.2493204,"D Raptis, N Tselios, J Kjeldskov, MB Skov - Proceedings of the 15th …, 2013 - dl.acm.org","Given the wide adoption of smartphones, an interesting debate is taking place regarding their optimal screen size and specifically whether possible portability issues counterbalance the obvious benefits of a larger screen. Moreover, the lack of scientific evidence about the …",137
Does size matter? A prospective analysis of 28–32 versus 36–40 French chest tube size in trauma,2012,https://journals.lww.com/jtrauma/FullText/2012/02000/Does_size_matter__A_prospective_analysis_of_28_32.16.aspx,"K Inaba, T Lustenberger, G Recinos… - Journal of Trauma …, 2012 - journals.lww.com",Background: The optimal chest tube size for the drainage of traumatic hemothoraces and pneumothoraces is unknown. The purpose of this study was to compare the efficacy of small versus large chest tubes for use in thoracic trauma. Our hypothesis was that (1) there would …,133
Does size matter? Corporate social responsibility and firm performance in the restaurant industry,2015,https://www.sciencedirect.com/science/article/pii/S0278431915001474,"H Youn, N Hua, S Lee - International Journal of Hospitality Management, 2015 - Elsevier","Despite an increasing number of hospitality studies on the link between corporate social responsibility (CSR) and corporate financial performance (CFP), the literature has predominantly focused on the CSR–CFP relation without considering moderating factors …",132
General obstetrics: Does size matter? A population‐based study of birth in lower volume maternity hospitals for low risk women,2006,https://obgyn.onlinelibrary.wiley.com/doi/abs/10.1111/j.1471-0528.2005.00794.x,"SK Tracy, E Sullivan, H Dahlen, D Black… - … Journal of Obstetrics …, 2006 - Wiley Online Library","Objective To study the association between volume of hospital births per annum and birth outcome for low risk women. Design Population‐based study using the National Perinatal Data Collection (NPDC). Setting Australia. Participants Of 750,491 women who gave birth …",132
On the likelihood of plate tectonics on super-Earths: does size matter?,2010,https://iopscience.iop.org/article/10.1088/2041-8205/725/1/L43/meta,"J Korenaga - The Astrophysical Journal Letters, 2010 - iopscience.iop.org",The operation of plate tectonics on Earth is essential to modulate its atmospheric composition over geological time and is thus commonly believed to be vital for planetary habitability at large. It has been suggested that plate tectonics is very likely for super-Earths …,131
Does size matter? Finding the profitability and marketability benchmark of financial holding companies,2006,https://www.worldscientific.com/doi/abs/10.1142/S0217595906000930,"SF Lo, WM Lu - Asia-Pacific Journal of Operational Research, 2006 - World Scientific","The aim of this paper is to explore the efficiency and the benchmarks of financial holding companies (FHCs) for a small open economy, Taiwan. We employ a two-stage production process including profitability and marketability performance using a non-parametric frontier …",130
Does size really matter? New insights into the intercalation behavior of anions into a graphite-based positive electrode for dual-ion batteries,2016,https://www.sciencedirect.com/science/article/pii/S0013468616310453,"K Beltrop, P Meister, S Klein, A Heckmann… - Electrochimica …, 2016 - Elsevier","There are many reports on electrochemical anion intercalation into graphite using different types of electrolyte mixtures for application in dual-graphite or dual-ion cells, showing promising results in terms of cycling stability, reversible capacity and Coulombic efficiency …",130
Laparoscopic splenectomy in patients with normal-sized spleens versus splenomegaly: Does size matter?/Discussion,2001,https://search.proquest.com/openview/dbde2a9469ba3a8f2d9960cb3a122d02/1?pq-origsite=gscholar&cbl=49079,"BT Heniford, A Park, RM Walsh… - The American …, 2001 - search.proquest.com",Laparoscopic resection has become the standard means for removal of normal-sized spleens in many medical centers. The application of minimally invasive techniques in the setting of splenomegaly is less well defined and was previously considered a …,118
Does size matter? Utility of size of tuberculin reactions for the diagnosis of mycobacterial disease,2000,https://www.atsjournals.org/doi/abs/10.1164/ajrccm.162.4.9912048,"KA Zahrani, HA Jahdali, D Menzies - American journal of respiratory …, 2000 - atsjournals.org","It is a common belief that larger tuberculin reactions are more serious, and more likely to indicate patients with active tuberculosis (TB) or at high risk of disease in the future. Among 182 close contacts, and 502 patients suspected of possible active TB, 529 underwent …",116
Financial and legal constraints to firm growth: Does size matter?,2002,https://books.google.com/books?hl=en&lr=&id=DN5YxWQFb5gC&oi=fnd&dq=+%22does+size+matter%22&ots=xQotHBYzMV&sig=-Vucm337rEDjusGUg6YbfgVcn-A,"T Beck, V Maksimovic - 2002 - books.google.com","Using a unique firm-level survey data base covering 54 countries, Beck, Demirgug-Kunt, and Maksimovic investigate whether different financial, legal, and corruption issues that firms report as constraints actually affect their growth rates. The results show that the extent …",116
Does size matter?,1998,https://pubs.asahq.org/anesthesiology/article/89/3/557/37030,"T Bouillon, SL Shafer - The Journal of the American Society of …, 1998 - pubs.asahq.org","INTRAVENOUS drugs used in anesthesia range from compounds with low margins of safety, such as opioids and hypnotics, to deadly poisons, such as muscle relaxants. During general anesthesia, patients often are paralyzed, their tracheas are intubated, their lungs …",114
Does size matter? Elasticity of compressed suspensions of colloidal-and granular-scale microgels,2012,https://pubs.rsc.org/en/content/articlehtml/2012/sm/c1sm06355c,"P Menut, S Seiffert, J Sprakel, DA Weitz - Soft Matter, 2012 - pubs.rsc.org","We investigate the mechanics of dense packing of very small, colloidal-scale, and larger, granular-scale microgel particles. At low particle concentration, thermally induced Brownian motion of the particles is important for the colloidal-scale systems; in contrast, such Brownian …",112
Wildfire selectivity for land cover type: does size matter?,2014,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0084760,"AMG Barros, JMC Pereira - PloS one, 2014 - journals.plos.org","Previous research has shown that fires burn certain land cover types disproportionally to their abundance. We used quantile regression to study land cover proneness to fire as a function of fire size, under the hypothesis that they are inversely related, for all land cover …",109
Does size matter most? The effect of growth history on probabilistic reaction norm for salmon maturation,2006,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0014-3820.2006.tb01230.x,"K Morita, M Fukuwaka - Evolution, 2006 - Wiley Online Library","Body size is widely believed to affect the occurrence of sexual maturation. Recent studies have used changes in the age‐specific body size at which the probability of maturing is 50%, a feature of probabilistic reaction norms, to quantify purported evolution of life histories …",109
"Feeding by Antarctic Krill, Euphausia superba: Does Size Matter?",1985,https://link.springer.com/chapter/10.1007/978-3-642-82275-9_52,"LB Quetin, RM Ross - Antarctic nutrient cycles and food webs, 1985 - Springer","Summary Antarctic Krill, Euphausia superba (25–30 mm total length), were fed uni-algal cultures of a flagellate, Isochrysis galbana (= 4 μ m sphere), a pennate diatom, Phaeodactylum tricornutum (equivalent spherical diameter (ESD)= 4 μ m), and 2 centric …",102
Does Size Really Matter? On the Relationship between Immigrant Group                     Size and Anti-Immigrant Prejudice,2017,https://journals.sagepub.com/doi/abs/10.1111/imre.12191,"Y Pottie-Sherman, R Wilkes - International Migration Review, 2017 - journals.sagepub.com","Group threat theory understands prejudice as a manifestation of the threat, either actual or assumed, that minority groups pose to majority groups. This theory is often operationalized by analyzing the impact of group size on anti-immigrant prejudice. We test this hypothesis …",101
Contest behavior in territorial male butterflies: does size matter?,2000,https://academic.oup.com/beheco/article-abstract/11/6/591/221405,"DJ Kemp - Behavioral Ecology, 2000 - academic.oup.com","Although intrasexual contests generally favor bigger or stronger individuals, the relevance of body size to war of attrition-type disputes between weaponless animals such as butterflies is unclear. In this study I aimed to investigate the significance of size in this context by studying …",99
Does size matter? Bumblebee behaviour and the pollination of Cytisus scoparius L.(Fabaceae),2000,https://www.apidologie.org/articles/apido/abs/2000/01/M0111/M0111.html,"JC Stout - Apidologie, 2000 - apidologie.org","The effects of forager body size and floral display size on pollinator behaviour were assessed in a relatively specialised plant-pollinator system. Cytisus scoparius, which has structurally complex, nectarless flowers is pollinated by foraging bumblebees. Variations in …",99
Myxomatous mitral valve disease in dogs: does size matter?,2012,https://www.sciencedirect.com/science/article/pii/S176027341200015X,"HG Parker, P Kilroy-Glynn - Journal of Veterinary Cardiology, 2012 - Elsevier","Myxomatous mitral valve disease (MMVD) is the most commonly diagnosed cardiovascular disease in the dog accounting for more than 70% of all cardiovascular disease in dogs. As are most canine diseases with genetic underpinnings, risk of MMVD is greatly increased in a …",94
Does size matter-an economic analysis of small business exemptions from regulation,2004,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jsebl8&section=6,"CS Bradford - J. Small & Emerging Bus. L., 2004 - HeinOnline","DOES SIZE MATTER? AN ECONOMIC ANALYSIS OF SMALL BUSINESS EXEMPTIONS 
FROM REGULATION by C. Steven Bradford ""In the ant's hou … DOES SIZE MATTER? AN 
ECONOMIC ANALYSIS OF SMALL BUSINESS EXEMPTIONS FROM REGULATION …",93
Tree-ring growth and intra-annual density fluctuations of Pinus pinaster responses to climate: does size matter?,2013,https://link.springer.com/content/pdf/10.1007/s00468-012-0831-3.pdf,"F Campelo, J Vieira, C Nabais - Trees, 2013 - Springer","Dendroclimatology generally assumes that climate–growth relationships are age and size independent. However, there is evidence that climate response can be unstable across different age/size classes. In addition, the occurrence of some anatomical features, such as …",93
Does size really matter? Weight and values in public health,2001,https://muse.jhu.edu/article/26043/summary,"A Jutel - Perspectives in Biology and Medicine, 2001 - muse.jhu.edu","The medical community has long regarded obesity and overweight as serious health risks, and popular culture reflects these concerns. A focus on body weight reduction motivates many contemporary exercise and diet practices, especially among women. Yet, there is …",92
The impact of international financial reporting standards: does size matter?,2006,https://www.emerald.com/insight/content/doi/10.1108/02686900610667247/full/html,"J Goodwin, K Ahmed - Managerial Auditing Journal, 2006 - emerald.com","Purpose–This study seeks to examine the impact of Australian equivalents to international financial reporting standards (A‐IFRS) on the accounts of small‐, medium‐and large‐sized firms. Design/methodology/approach–For 135 listed Australian entities, the half‐yearly …",91
Does size matter? Small firms' use of e‐business tools in the supply chain,2005,https://www.tandfonline.com/doi/abs/10.1080/10196780500083746,"NM Levenburg - Electronic markets, 2005 - Taylor & Francis","The Internet was envisioned as a powerful tool enabling small firms to 'level the playing field'when competing with larger firms. Yet, the benefits of e‐business are accruing to larger, rather than smaller, firms. Using the European Union's definitions for micro, small, and …",91
Pharyngolaryngeal morbidity with the laryngeal mask airway in spontaneously breathing patients: does size matter?,2001,https://pubs.asahq.org/anesthesiology/article-abstract/94/5/760/41745,"DM Grady, F McHardy, J Wong, F Jin… - The Journal of the …, 2001 - pubs.asahq.org","Background Currently, the manufacturer of the laryngeal mask airway (LMA; Laryngeal Mask Company, Ltd., Northfield End, Henley on Thames, Oxon, United Kingdom) recommends using as large a mask size as possible. The aim of this study was to compare the incidence …",91
Does size matter in platelet production?,2012,https://ashpublications.org/blood/article-abstract/120/8/1552/30821,"JN Thon, JE Italiano Jr - Blood, The Journal of the American …, 2012 - ashpublications.org","Platelet (PLT) production represents the final stage of megakaryocyte (MK) development. During differentiation, bone marrow MKs extend and release long, branched proPLTs into sinusoidal blood vessels, which undergo repeated abscissions to yield circulating PLTs …",90
Contralateral papillary thyroid cancer: does size matter?,2009,https://www.sciencedirect.com/science/article/pii/S0002961008007794,"SC Pitt, RS Sippel, H Chen - The American journal of surgery, 2009 - Elsevier",Background The optimal extent of thyroidectomy for papillary thyroid cancer (PTC)< 1 cm is controversial. Our aim was to identify the rate and factors predictive of contralateral PTC in these patients. Methods We examined 228 patients with PTC who underwent either …,90
Laparoscopic adrenalectomy for adrenal masses: does size matter?,2008,https://www.sciencedirect.com/science/article/pii/S0090429507025885,"OA Castillo, G Vitagliano, FP Secin, M Kerkebe… - Urology, 2008 - Elsevier",Objectives To examine the impact of adrenal tumor size on perioperative morbidity and postoperative outcomes in patients undergoing laparoscopic adrenalectomy. Methods A total of 227 laparoscopic adrenalectomies were divided in three groups according to size as …,90
Nerve injury by needle nerve perforation in regional anaesthesia: does size matter?,2010,https://academic.oup.com/bja/article-abstract/104/2/245/227462,"T Steinfeldt, W Nimphius, T Werner… - British journal of …, 2010 - academic.oup.com","Background In regional anaesthesia, there is a risk of direct nerve injury. The purpose of this study was to determine whether the diameter of the applied needle is associated with the magnitude of nerve injury after needle nerve perforation. Methods In five anaesthetized pigs …",88
Forecasting bankruptcy for SMEs using hazard function: To what extent does size matter?,2015,https://link.springer.com/article/10.1007/s11156-014-0458-0,"J Gupta, A Gregoriou, J Healy - Review of Quantitative Finance and …, 2015 - Springer","A huge diversity exists within the broad category of small and medium size enterprises (SMEs). They differ widely in their capital structure, firm size, access to external finance, management style, numbers of employees etc. We contribute to the literature by …",87
"Does size really matter? Effects of fish surface area on the settlement and initial survival of Lepeophtheirus salmonis, an ectoparasite of Atlantic salmon Salmo salar",2002,https://www.int-res.com/abstracts/dao/v49/n2/p145-152/,"CS Tucker, C Sommerville, R Wootten - Diseases of aquatic organisms, 2002 - int-res.com","The effect of the size of the surface area of a fish host on settlement and initial survival of Lepeophtheirus salmonis (Krøyer, 1837) was determined. Atlantic salmon Salmo salar L. of various sizes‹ small (43±4 g), medium (173±32 g) and large (644±62 g)‹ were initially …",87
Does size matter? The moderating effects of firm size on the employment of nonfamily managers in privately held family SMEs,2016,https://journals.sagepub.com/doi/abs/10.1111/etap.12156,"HC Fang, RVDG Randolph, E Memili… - … Theory and Practice, 2016 - journals.sagepub.com","Family firms' decisions to hire nonfamily managers are influenced by agency costs, socioemotional wealth concerns, and the availability of high–quality nonfamily managers in the labor pool. We hypothesize that owing to these factors, family ownership and intrafamily …",85
Toxic effects and ultrastructural damages to Daphnia magna of two differently sized ZnO nanoparticles: does size matter?,2014,https://www.sciencedirect.com/science/article/pii/S0043135414000748,"N Santo, U Fascio, F Torres, N Guazzoni, P Tremolada… - Water research, 2014 - Elsevier","The toxic effects of two differently sized ZnO nanopowders have been studied in Daphnia magna using advanced microscopy techniques. Five nanoZnO suspensions (0.1, 0.33, 1, 3.3 and 10 mg/L) were tested. The results of the 48-h acute toxicity tests performed with …",85
Indonesia's rising regional and global profile: does size really matter?,2011,https://www.jstor.org/stable/41288825,"EA Laksmana - Contemporary Southeast Asia, 2011 - JSTOR","This paper seeks to challenge the view that Indonesia's geographical and population size account for its rising regional and global profile. Instead, it makes three inter-related arguments. First, the manifestations of Indonesia's foreign policy and global profile have …",85
Small samples: does size matter?,2001,https://arvojournals.org/article.aspx?articleID=2199953,"AJ Anderson, AJ Vingrys - Investigative Ophthalmology & Visual …, 2001 - arvojournals.org","“Only five subjects in a scientific study? I trust this is a typographical error….” 1 In all scientific studies, investigators must consider how large a sample should be to reflect the population from which it was drawn. Some studies are designed to quantify the magnitude of …",84
Does size matter? Reassessing the relationship between aquaculture and poverty in Bangladesh,2012,https://www.tandfonline.com/doi/abs/10.1080/00220388.2011.638049,"B Belton, MM Haque, DC Little - Journal of Development Studies, 2012 - Taylor & Francis",Aquaculture has long been promoted by development institutions in Bangladesh on the understanding that it can alleviate poverty. Most of this attention has focused on forms of the activity commonly referred to as 'small-scale'. This article draws on concepts from the …,84
Does size matter? Evaluating corporate environmental disclosure in the Australian mining and metal industry: A combined approach of quantity and quality …,2017,https://onlinelibrary.wiley.com/doi/abs/10.1002/bse.1910,"KH Lee - Business Strategy and the Environment, 2017 - Wiley Online Library","There are an increasing number of companies in the mining and metals sector disclosing environmental sustainability information in their annual reports, sustainability reports and corporate internet web pages. However, there is ongoing debate about the relationship …",84
